src,ref
"Schlussendlich dauert die Erholung an, aber sie steht nicht auf festem Boden. ","In conclusion, the recovery continues, but it is not on solid ground. "
"Aber beim Thema des Klimawandels ist Zynismus ein Luxus, den wir uns nicht leisten können. ","Yet when it comes to climate change, cynicism is a luxury that we cannot afford. "
"Die gute Nachricht ist freilich, dass die vom IS ausgehende Gefahr für den Mittleren Osten und die übrige Welt sich durch nachhaltiges, konzertiertes Handeln drastisch verringern lässt. ","The good news, though, is that the threat posed by the Islamic State to the Middle East and the rest of the world can be dramatically reduced through sustained, concerted action. "
"Dies ist die Art und Weise, in der wir Musiker, Friseure, Ärzte und Wissenschaftler ausbilden. ","That is how we train musicians, barbers, doctors, and scientists. "
"“Passen Sie bitte auf”, so die Stimme weiter. ","""Please pay attention,"" the voice continued. "
Pessimisten behaupten das schon lange. ,Pessimists have been saying this for a long time. 
"Wir wollen, daß Ghana ein Leuchtfeuer in West-Afrika wird. ",We want Ghana to become a beacon in West Africa. 
"Zum Glück legen Untersuchungen nahe, dass sich diese Gewohnheiten durchbrechen lassen. ","Fortunately, research suggests that such habits can be broken. "
Vom Großen Spiel zum großen Abkommen ,From Great Game to Grand Bargain 
"Wir sind für diese Rolle sicher besser geeignet als beispielsweise Polen, das ebenfalls versucht diese Rolle zu spielen. ","Obviously, we are more suited for this role than, say Poland, which is also trying to play it. "
"Das ist zwar besser als nichts, aber doch nur ein Tropfen auf den heißen Stein. ","These data may be better than nothing, but not by much. "
Gleichzeitig können die USA wegen des weltweiten Abschwungs auch nicht auf den Export oder auf Verbraucherausgaben setzen. ,"Meanwhile, the US cannot expect much relief from exports, given the global economic slowdown, or from consumer spending. "
"Sicher wird der Hisbollah nach wie vor widerstrebender Respekt für ihre Fähigkeit gezollt, Israel die Stirn zu bieten. ","To be sure, Hezbollah is still grudgingly respected for its ability to stand up to Israel. "
Auch die Politiker in Europa folgen bei der Ablehnung der TTIP ihren Wählern. ,Politicians in Europe are also following voters in turning against the TTIP. 
In diesem Fall aber wurden die Mittel der Armen und Durchschnittsverdiener zu den Reichen dirigiert. ,Here it was the poor and average transferring money to the rich. 
"Am meisten schätzen würde die Ukraine aber das Gefühl, dass man mit ihr auf gleicher Augenhöhe umgeht. ",What Ukraine would value most is a real sense that it is being treated distinctly in its own right. 
"Sollte es dazu kommen, so träfe China ein Großteil der Schuld. ","Should this happen, China would share a large part of the blame. "
"Dennoch handelt es sich dabei bestimmt um die Art Prognose, vor der sie sich in Acht nehmen sollten. ",Yet it is almost certainly the sort of forecast of which they should beware. 
Rock and Roll wurde als üble Form kapitalistischer Dekadenz betrachtet. ,Rock and roll was considered a noxious form of capitalist decadence. 
"Wie beim JGIP würden PSZs Investoren aus der Region und von anderswo Chancen eröffnen, einen Beitrag zum Frieden zu leisten und davon zu profitieren. ","As with the JGIP, SPZs would provide opportunities for investors from the region and beyond to contribute to, and profit from, peace. "
In diesem Fall ist die Geschichte keine Metapher. ,"In this case, history is not a metaphor. "
In vielen Ländern sind Tabaksteuern real gefallen. ,"In many countries, tobacco taxes have fallen in real terms. "
Jedoch schwinden seine Möglichkeiten rasch. ,"However, his options are shrinking rapidly. "
"Doch wir verfügen über eine Steuer, die Hunderte Millionen verfrühte Todesfälle verhindern kann. ",Yet we have a tax that could prevent hundreds of millions of premature deaths. 
Nur wenigen reichen Ländern geht es besser als den Vereinigten Staaten. ,Few rich countries do better than the US. 
"Sie lautet: Wenn dir ein Unternehmen nicht gehört, bilde dir besser nicht ein, dass du dort ewig an der Spitze bleiben kannst. ","It is that unless you own a company, you had better not think you can stay at the top of it forever. "
