src,ref
And you need to make those decisions yourself. ,Sie müssen diese Entscheidungen selbst treffen. 
"Then, after about 30 seconds, it reshuffles, and you have a new set of letters and new possibilities to try. ","Dann, nach ungefähr 30 Sekunden, wird wieder gemischt und man hat eine neue Buchstabenkombination und neue Möglichkeiten auszuprobieren. "
And you have to revisit these questions over time. ,Und man muss diese Fragen mit der Zeit erneut stellen. 
You have to figure out what all those words mean. ,"Man muss herausfinden, was all diese Wörter bedeuten. "
You also have to be very professional. ,Sie müssen auch sehr professionell sein. 
"What I want you to do when you get home is email me the passwords to all of your email accounts, not just the nice, respectable work one in your name, but all of them, because I want to be able to just troll through what it is you're doing online, read what I want to read and publish whatever I find interesting. ","Wenn Sie heimkommen, will ich, dass sie mir all Ihre Passwörter für all Ihre E-Mail-Konten senden, nicht nur vom netten, respektablen mit Ihrem Namen für die Arbeit, sondern alle. Denn ich möchte in der Lage sein, in dem zu wühlen, was Sie online tun, zu lesen und zu veröffentlichen, was ich interessant finde. "
"And yes, you also interact using natural gestures, both hands, etc. ","Und ja, Sie interagieren auch mittels normaler Gesten, beide Hände, usw. "
"And if you still don't come up with anything, ask yourself: What languages can I learn? ","Und wenn Ihnen immer noch nichts einfällt, fragen Sie sich: ""Welche Sprachen könnte ich lernen?"" "
But first you take a screenshot and then you draw something that is related to it. ,"Aber dann, machen Sie erst einen Screenshot und zeichnen dann etwas in Bezug darauf. (Lachen) "
Now let me give you an example from my act. ,Ich gebe euch ein Beispiel meines Auftritts: 
"In other words, we didn't have the technology to do what would be really interesting on that building. ","Anders ausgedrückt, hatten wir die Technologie nicht, um zu tun, was bei diesem Gebäude wirklich interessant gewesen wäre. "
"When you have a conversation like this, the kid has to come up with the next thing to say to be responsible for what he started. ","Wenn Sie so eine Unterhaltung haben, muss das Kind sich die nächste Antwort einfallen lassen um das zu verantworten, was es angefangen hat. "
"It also makes you very good at eavesdropping, because you can listen to two conversations simultaneously. ","Man wird auch sehr gut beim Lauschen, denn man muss zwei Gesprächen gleichzeitig zuhören. "
(Laughter) I don't know how many of you have read it. ,"(Gelächter) Ich weiß nicht, wieviele von Ihnen es gelesen haben. "
"Please search for the differences, which are many. ","um eine weitere Aufgabe. Bitte suchen Sie nach den Unterschieden, die zahlreich sind. "
"Now, I don't know how you play, but I want to show you a couple of unique clips fresh from the wild. ","Nun, ich weiß nicht, wie Sie spielen, aber ich möchte Ihnen einige einzigartige Aufnahmen geradewegs aus der Wildnis zeigen. "
You put all of these bits and pieces back together again to come to your conclusion. ,um einen Entschluss zu fassen. 
And you have to do that investigative work. ,Wurde es schon einmal hochgeladen? Man muss also recherchieren. 
