src,ref
"And maybe, hopefully you can do it more often.",也许，你可以多实行几次。
"So depending on where it looks, it flips between the two possibilities.",根据它从哪里看，它翻转在 两种可能性之间
"Now what I want to show you is that people don't know this about themselves, and not knowing this can work to our supreme disadvantage.",现在我告诉你， 如果人们不了解自己， 不知道他们有这个心理免疫系统，他们可能做一些很错误的决定。
They feel exactly what you feel at the same time that you feel it.,他们正好感觉到你所感受到的 在那同一时间的情感。
It was with the elephants that this story pivoted.,大象的出现改变了整个故事的走向
We're essentially against lying.,我们本质上与说谎对立
"And then the transducer then makes the output cells send the code on up to the brain, and the result is a retinal prosthetic that can produce normal retinal output.",然后传感器使 输出细胞把编码 送进大脑 这样视网膜假体就能产生 正常的视网膜输出
And I can show here a very good example.,让我给你一个好例子
"So, somehow humans and simplicity are intertwined, I think.",所以，人和简洁是紧密相连的。
This is the term that armies use when they've lost a battle.,这个词通常是军队在打了败仗之后才用的。
"Well, let's click the zoom lens down one order of magnitude, and look at the century scale.",现在，让我们放大一格 来观察下以世纪为单位的数据
It's very short and only in one direction.,航程很短，而且单项
So please join me for a minute of silence.,所以请跟我一起肃静一分钟。
And it sounds like an easy problem.,看起来问题很简单
"We commuted longer to work, but as you can see from this graph, the longer you commute the less happy you're likely to be.",我们花更多时间在上下班的路上，但从这个图中你会看到， 在路上花的时间越长，你就有可能越不快乐
And no professors of clinical trial methodology are allowed to answer this question.,临床医学试验方法论的教授 不允许回答这个问题
And I know what you're all thinking about are dodgeball teams.,我知道你们现在想到的是躲避球运动
You have to make it from something else.,必须由其他物质生成。
"It doesn't really matter what the statements are about, what matters is that the candidates are willing and able to stand up to authority.",这些陈述是什么都无所谓 重要的是这些选手们愿意而且有能力 对权威提出挑战
"Now, we'll skip the critiques of the paper.",现在，我们跳过对这篇文章本身的评论，
So there's a technical word for these people in my lab.,在我的实验室里，这类人群有一个专属名字。
Thank you and God bless you.,谢谢你们。上帝保佑大家。
Here's an example of the puzzle you're going to solve.,这是你们要解答的问题的一个例子。 （给下列字母重新排序使之成为有意义的单词）
