src,ref
这些嗜极菌的存在表明生命或许会出现在许多其他环境中。,These extremophiles tell us that life may exist in many other environments.
谁知道呢，也许你其中的一个原子以前曾经是拿破仑的膝盖,"Who knows, maybe one of your atoms was once Napoleon's knee."
但是事实上，我们在这里刚刚统计了一次 说明世界上有差不多一半的人 需要佩戴眼镜,"But in fact, I would argue that we've just done an experiment here and now, which shows us that the global need for corrective eyewear is around half of any population."
而是要让孩子的头脑和思考中有音乐的概念。,It's about getting that music thing going through their heads and their thinking.
环钻术简单说就是在头上凿个洞。,And trephination is simply just cutting a hole in the skull.
他们带着这种镶有珠宝的阳伞，把它放在地上。,"And they brought this kind of a jeweled parasol, and they put it on the ground."
其实，我也吃惊会渉入 杀虫剂这个问题。 当时，世上最大的化学制品公司 来问我，是否能评估 阿特拉津对两栖动物或者说我的青蛙的影响。,"In fact, my involvement in the whole pesticide issue was sort of a surprise as well when I was approached by the largest chemical company in the world and they asked me if I would evaluate how atrazine affected amphibians, or my frogs."
在阿富汗，我们 大概多次了中断了脊髓灰质炎感染,"And Afghanistan, Afghanistan, we think has probably stopped polio repeatedly."
不丹的一个牵扯政治的话题 就是雇佣印度人作为廉价劳工 他们从印度引进过来铺路， 路一旦铺好他们就又会被遣送回家。,"One of the more touchy political subjects in Bhutan is the use of Indian cheap labor that they import from India to build the roads, and then they send these people home once the roads are built."
如果我们能刺激单独一个细胞 而不牵涉它周边 那就我们就有了能激活和关闭各种不同细胞的工具 了解它们的作用和他们如何作用 在它们位于的脑部网络,"If we could turn on the electricity in one cell, but not its neighbors, that would give us the tool we need to activate and shut down these different cells, figure out what they do and how they contribute to the networks in which they're embedded."
比如，我在中国的小巷中的一个性保健店买了这瓶伟哥,"Like, this is Viagra that I bought from a backstreet sex shop in China."
它可能完全改变全球的杀虫剂制造业。,This could totally revamp the pesticide industries throughout the world.
想象一下，你的化学教科书能真正理解 分子结构是如何形成的。,Imagine chemistry textbooks that actually understand the structure of how molecules are formed.
伯萨沙是尼布甲尼撒的儿子 尼布甲尼撒征服了以色列，洗劫了耶路撒冷 俘虏了那里的人民 将犹太人带到了巴比伦,"Belshazzar, the son of Nebuchadnezzar, Nebuchadnezzar who'd conquered Israel, sacked Jerusalem and captured the people and taken the Jews back to Babylon."
在你的左边 是一滴橄榄油， 这种橄榄油会被酶类攻击。,"You have on your left an olive oil droplet, and this olive oil droplet gets attacked by enzymes."
他们磨磨蹭蹭地移动着 在彼此身上上下其手。,And they were moving and grinding and moving their arms up and down each other.
随后，我的前十字韧带也被撕裂了 但不久之后，人工膝盖出现了,"Then I went on to tear my ACL, the ligament in my knee, and then developed an arthritic knee."
对于你们当中一些知道什么叫克莱因瓶的人来说， 你肯定会转一转你的眼睛，然后说，是的，我知道这是怎么一回事。,"For those of you in the audience who know, you roll your eyes and say, yup, I know all about it."
随后对原来的韧带进行替换 我们放入了其他人捐赠的韧带 以使她的膝盖得到稳定的支撑,"And then for that unstable ligament, we put in a human donor ligament to stabilize the knee."
你能找到的大部分是甘氨酸和丙氨酸 还有其他一些,What you find is mostly glycine and then alanine and there's some trace elements of the other ones.
在采访中，托尔斯泰提到了他最近一次 去高加索的一个非常偏远的地区的旅行 那里都全是些落后的村民， 他们从来没有离开过俄罗斯的这一地区。,"And in it, Tolstoy told of a trip that he'd recently made to a very remote area of the Caucasus, where there were only wild barbarians, who had never left this part of Russia."
他面向加州理工学院研究生的讲课 成了《费曼引力学讲义》,"He gave lectures to Caltech graduate students that became ""The Feynman Lectures on Gravitation."""
一个理论 能够用来描述所有自然间的作用力，可以是一整套观点， 一整套法则，或者一条主宰万物的等式，用你的话来说。,"That's one theory that might be able to describe all of nature's forces from one set of ideas, one set of principles, one master equation, if you will."
我感谢你们今天听我演讲， 因为你们会倾听我， 这证明你们真的在乎。,"I appreciate your attention today, because to show that you truly care, you listen."
而且，我们只知道，不仅仅 加拉帕戈斯企鹅有困难， 麦哲伦企鹅也有，还有其他种类的企鹅,"And also, we know that it's not only Galapagos penguins that are in trouble, but Magellanics and many other species of penguins."
如果这是太空堡垒卡拉狄加中的剧情 而你正和赛昂人战斗， 不要躲在黑洞后面。,"If this were Battlestar Galactica and you're fighting the Cylons, don't hide behind the black hole."
坠落的力度粉碎了他的右臂 打断了他所有的肋骨 刺穿了他的肺部 当他的意识时有时无 他顺流漂到东河 直到布鲁克林大桥下 到了史泰登岛渡轮的入船口 渡轮上的乘客 听到了他痛苦的叫喊 报告了船长 船长报告了海岸巡逻队 巡逻队把他从东河打捞了起来 并安置到了贝尔维医院,"The fall shattered his right arm, broke every rib that he had, punctured his lung, and he drifted in and out of consciousness as he drifted down the East River, under the Brooklyn Bridge and out into the pathway of the Staten Island Ferry, where passengers on the ferry heard his cries of pain, contacted the boat's captain who contacted the Coast Guard who fished him out of the East River and took him to Bellevue Hospital."
伯罗奔尼萨战争 是希腊城邦体制的 很大的冲突 导致了两千伍佰年前 希腊的分崩离析。,The Peloponnesian War was the great conflict in which the Greek city state system tore itself apart two and a half millennia ago.
能暂时逃离英国国会与政府大楼的平淡无奇 我的喜悦之情真的是难以言表。,Can I say how delighted I am to be away from the calm of Westminster and Whitehall?
一个是印度国界以北的尼泊尔， 一个是印度南部的恰尔肯德邦。,"It could have come from Nepal, just to the north, across the border, or from Jharkhand, a state just to the south."
我猜，人们都不会把他们的领带弄皱,"People, I guess, decided that they would not wrinkle their ties."
欧元作为一新生的货币 是为商业投资提供了巨大的机会。,"Now, the Euro was a newly born currency of great opportunity for business, and, of course, for investment."
仅是传授你能表达你自己，这是不够的；,It's not enough to just teach that you can express yourself.
你要的话，我口袋里有个打火机。,I have a lighter in my pocket if you need one.
"我开始讲渡渡鸟的故事, 渡渡鸟是如何绝种的, 之后我又讲哲学家斯宾诺莎.","And I talk about the dodo, and how the dodo became extinct, and then I talk about Spinoza."
你不想像柯勒律治的忽必烈卡恩一样 在中间停了下来。,You don't want to stop in the middle like Coleridge's Kubla Kahn.
